Sample,Final_U238Pb206,Final_U238Pb206__2SE,Final_Pb207Pb206,Final_Pb207Pb206__2SE,238,207,,
2,4.423405267,0.088404414,0.091186482,0.00146352,1.998560129,1.604974737,0.044202207,0.00073176
2,6.833458277,0.172475563,0.08984177,0.001435453,2.52398648,1.597756812,0.086237782,0.000717727
2,4.676164862,0.082603613,0.087811769,0.00139969,1.766482052,1.593966294,0.041301807,0.000699845
2,13.09005547,0.816333064,0.07617245,0.001206946,6.236284223,1.584491506,0.408166532,0.000603473
2,17.30725791,1.053014623,0.087317137,0.001379898,6.084237194,1.580328957,0.526507312,0.000689949
2,5.198226201,0.116936834,0.104739757,0.001649931,2.249552626,1.575267164,0.058468417,0.000824966
2,7.480908336,0.631598317,0.099771495,0.001567805,8.442802513,1.571395718,0.315799159,0.000783903
2,4.886400527,0.12532212,0.086678028,0.001353151,2.564712395,1.561123426,0.06266106,0.000676576
2,11.18643388,0.491774275,0.099805299,0.001555651,4.396166645,1.558685777,0.245887138,0.000777826
2,4.5332581,0.159075468,0.102335762,0.001593158,3.509075912,1.556794975,0.079537734,0.000796579
2,3.829511366,0.091895012,0.103300078,0.001603019,2.399653721,1.551808122,0.045947506,0.00080151
2,7.053733137,0.173456676,0.087208898,0.001351988,2.459076246,1.550286761,0.086728338,0.000675994
2,4.139472854,0.17391423,0.104159458,0.001614533,4.201361771,1.550058949,0.086957115,0.000807267
2,8.204639852,0.635086055,0.099855324,0.001541359,7.740571999,1.543592207,0.317543028,0.00077068
2,6.827608684,0.105713877,0.103381056,0.001595028,1.548329465,1.54286294,0.052856939,0.000797514
2,5.213851725,0.188172466,0.089411212,0.001379409,3.609087406,1.542769603,0.094086233,0.000689705
2,5.819255299,0.117390258,0.07484042,0.001153369,2.017272863,1.541104393,0.058695129,0.000576685
2,4.931706041,0.181843002,0.090118889,0.001386949,3.687223052,1.539021414,0.090921501,0.000693475
2,3.818671397,0.175683737,0.106249494,0.001632897,4.600650822,1.536851554,0.087841869,0.000816449
2,10.27923229,0.721803073,0.098461691,0.001507443,7.021955071,1.530994425,0.360901537,0.000753722
2,6.469070362,0.133112924,0.075277607,0.001149631,2.057682427,1.527188557,0.066556462,0.000574816
2,5.622626184,0.092605157,0.075548898,0.001151529,1.647008959,1.524216806,0.046302579,0.000575765
2,6.185036944,0.114578734,0.075687211,0.001153156,1.852514949,1.523581045,0.057289367,0.000576578
2,4.035100415,0.085490457,0.103250557,0.001562841,2.118669877,1.513639292,0.042745229,0.000781421
2,10.40746725,0.247114957,0.074200798,0.001116747,2.374400525,1.505033679,0.123557479,0.000558374
2,9.739965177,0.39727396,0.076517954,0.001150576,4.078802673,1.503668015,0.19863698,0.000575288
2,4.380809884,0.110655691,0.08951522,0.001337507,2.525918584,1.494167137,0.055327846,0.000668754
2,12.14260418,0.237604417,0.090986835,0.001359106,1.956783022,1.493739177,0.118802209,0.000679553
2,8.363025078,0.44275888,0.089596297,0.001333578,5.294243122,1.488429818,0.22137944,0.000666789
2,5.723029029,0.096632137,0.076045817,0.001131445,1.68847889,1.487846465,0.048316069,0.000565723
2,4.928853225,0.142218273,0.090209476,0.001339446,2.885423171,1.484817404,0.071109137,0.000669723
2,11.85061398,0.377571067,0.076381503,0.001125774,3.18608865,1.473883016,0.188785534,0.000562887
2,6.652023156,0.531571494,0.103041246,0.001514823,7.991125129,1.47011324,0.265785747,0.000757412
2,4.315203724,0.091211779,0.102952418,0.00151272,2.113730541,1.469338972,0.04560589,0.00075636
2,10.19553541,0.517017965,0.104514705,0.001535101,5.07102319,1.468789488,0.258508983,0.000767551
2,11.74563634,0.609644548,0.099953328,0.001464934,5.190391822,1.465618033,0.304822274,0.000732467
2,12.67416288,0.205707432,0.076801727,0.001120404,1.623045514,1.45882657,0.102853716,0.000560202
2,4.443009532,0.099537132,0.101396733,0.001477284,2.240308766,1.456934515,0.049768566,0.000738642
2,5.262582285,0.159488924,0.103681066,0.001510131,3.030621002,1.456515696,0.079744462,0.000755066
2,4.441650635,0.111029969,0.091166181,0.001325213,2.49974566,1.453623466,0.055514985,0.000662607
