sample_id,geochronid,analysis_type,analysis_document,analysis_doc_link,dlat,dlong,recommended_reference,local_pdf_path,download_status,download_error,download_size_bytes
209650,209650.1,U-Pb zircon,209650.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/209650.1.pdf,-27.916316,117.86721,"Wingate, MTD, Fielding, IOH, Lu, Y and Zibra, I 2021, 209650: metagranodiorite vein, Success Well; Geochronology Record 1830: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/209650.1.pdf,DOWNLOADED,,2541357
209651,209651.1,U-Pb zircon,209651.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/209651.1.pdf,-27.916316,117.86721,"Wingate, MTD, Fielding, IOH, Lu, Y and Zibra, I 2021, 209651: metamonzogranite, Success Well; Geochronology Record 1831: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/209651.1.pdf,DOWNLOADED,,2720660
210217,210217.1,U-Pb zircon,210217.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/210217.1.pdf,-28.675957,116.7751,"Wingate, MTD, Fielding, IOH, Lu, Y and Zibra, I 2021, 210217: metamonzogranite, South Well; Geochronology Record 1802: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/210217.1.pdf,DOWNLOADED,,1890792
211111,211111.1,SHRIMP U-Pb zircon,211111.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/211111.1.pdf,-26.996997,117.381361,"Romano, SS, Fielding, IOH, Wingate, MTD, Lu, Y and Ivanic, TJ 2023, 211111.1: meta-andesite, McCrae Bore; Geochronology Record 1910: Geological Survey of Western Australia, WA Geology Online, Explanatory Notes extract viewed 11 October 2023. <www.dmirs.wa.gov.au/geochron>",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/211111.1.pdf,DOWNLOADED,,2369903
211118,211118.1,SHRIMP U-Pb zircon,211118.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/211118.1.pdf,-28.673167,116.37715,"Romano, SS, Wingate, MTD, LU, Y, Fielding, IOH and Ivanic, TJ 2023, 211118.1: lamprophyre dyke, Deflector prospect; Geochronology Record 1930: Geological Survey of Western Australia, WA Geology Online, Explanatory Notes extract viewed 13 December 2023. <www.dmirs.wa.gov.au/geochron>",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/211118.1.pdf,DOWNLOADED,,3597523
211120,211120.1,U-Pb zircon,211120.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/211120.1.pdf,-28.671897,116.37537,"Wingate, MTD, Lu, Y, Fielding, IOH and Ivanic, TJ 2021, 211120: altered breccia, Deflector prospect; Geochronology Record 1823: Geological Survey of Western Australia, 7p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/211120.1.pdf,DOWNLOADED,,2356463
212791,212791.1,U-Pb zircon,212791.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/212791.1.pdf,-27.988946,120.45936,"Wingate, MTD, Lu, Y, Fielding, IOH and Zibra, I 2021, 212791: monzogranite gneiss, New Holland mine; Geochronology Record 1824: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/212791.1.pdf,DOWNLOADED,,2547538
214138,214138.1,SHRIMP U-Pb zircon,214138.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/214138.1.pdf,-28.468997,116.738341,"Fielding, IOH, Lu, Y, Wingate, MTD and Zibra, I 2023, 214138: granodiorite gneiss, Joker Well; Geochronology Record 1905: Geological Survey of Western Australia, WA Geology Online, Explanatory Notes extract viewed 5 July 2023. <www.dmirs.wa.gov.au/geochron>",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/214138.1.pdf,DOWNLOADED,,1305736
214139,214139.1,SHRIMP U-Pb zircon,214139.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/214139.1.pdf,-28.468497,116.739021,"Fielding, IOH, Lu, Y, Wingate, MTD and Zibra, I 2023, 214139: monzogranite gneiss, Joker Well; Geochronology Record 1906: Geological Survey of Western Australia, WA Geology Online, Explanatory Notes extract viewed 5 July 2023. <www.dmirs.wa.gov.au/geochron>",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/214139.1.pdf,DOWNLOADED,,1496305
214315,214315.1,SHRIMP U-Pb zircon,214315.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/214315.1.pdf,-28.700735,116.667586,"Fielding, IOH, Lu, Y, Wingate, MTD and Zibra, I 2023, 214315: metagranodiorite dyke, Wooley Spring; Geochronology Record 1907: Geological Survey of Western Australia, WA Geology Online, Explanatory Notes extract viewed 5 July 2023. <www.dmirs.wa.gov.au/geochron>",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/214315.1.pdf,DOWNLOADED,,2414678
