sample_id,priority_for_spot_retrieval,documents_flag_in_legacy_csv,available_flag_in_legacy_csv,has_igsn_link,igsn_links,mount_ids,doc_types,recommended_refs
95YQ120,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0006F,96-20,SHRIMP Logsheet,"Y Qiu, 1997 - Long-lived granitoid magmatism in the Southern Cross Province, Yilgarn Craton, Western Australia, and its relationships with Archaean lode-gold mineralization - UWA PhD Thesis"
95YQ87,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0006W,96-25,SHRIMP Logsheet,"P - Qiu et al., 1999 - Australian Journal of Earth Sciences - DOI: 10.1046/j.1440-0952.1999.00758.x, T - Qiu, 1997 - UWA PhD Thesis"
97-71-A,HIGH,Y,N,Y,http://hdl.handle.net/10273/XXAB0028C,03-116,"SHRIMP Logsheet, Notebook Sketch",
97-71-I,HIGH,Y,N,Y,http://hdl.handle.net/10273/XXAB0028D,03-116,"SHRIMP Logsheet, Notebook Sketch",
9796 7038G,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000AR,97-22,SHRIMP Logsheet,"Fletcher, McNaughton 2002, Granitoid geochronology: SHRIMP zircon and titanite data, in Characterisation and metallogenic significance of Archaean granitoids of the Yilgarn Craton, Western Australia: MERIWA Report 222."
9796 7069A,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000NP; http://hdl.handle.net/10273/XXAB000NQ,A-38,"SHRIMP Logsheet, Notebook Sketch","Fletcher, McNaughton 2002, Granitoid geochronology: SHRIMP zircon and titanite data, in Characterisation and metallogenic significance of Archaean granitoids of the Yilgarn Craton, Western Australia: MERIWA Report 222."
9796 7069B,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000NN; http://hdl.handle.net/10273/XXAB000NO,A-38,"SHRIMP Logsheet, Notebook Sketch","Fletcher, McNaughton 2002, Granitoid geochronology: SHRIMP zircon and titanite data, in Characterisation and metallogenic significance of Archaean granitoids of the Yilgarn Craton, Western Australia: MERIWA Report 222."
9796 7150,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000DP; http://hdl.handle.net/10273/XXAB000FU,98-12; 98-76,"SHRIMP Logsheet, Notebook Sketch","Fletcher, McNaughton 2002, Granitoid geochronology: SHRIMP zircon and titanite data, in Characterisation and metallogenic significance of Archaean granitoids of the Yilgarn Craton, Western Australia: MERIWA Report 222."
9796 7152,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000C1; http://hdl.handle.net/10273/XXAB000FS,97-43; 98-74,"SHRIMP Logsheet, Notebook Sketch","Fletcher, McNaughton 2002, Granitoid geochronology: SHRIMP zircon and titanite data, in Characterisation and metallogenic significance of Archaean granitoids of the Yilgarn Craton, Western Australia: MERIWA Report 222."
9796 7153,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000C3,97-44,SHRIMP Logsheet,"Fletcher, McNaughton 2002, Granitoid geochronology: SHRIMP zircon and titanite data, in Characterisation and metallogenic significance of Archaean granitoids of the Yilgarn Craton, Western Australia: MERIWA Report 222."
9796 9023,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000AQ,97-22,SHRIMP Logsheet,"Fletcher, McNaughton 2002, Granitoid geochronology: SHRIMP zircon and titanite data, in Characterisation and metallogenic significance of Archaean granitoids of the Yilgarn Craton, Western Australia: MERIWA Report 222."
9796 9044,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000AP,97-22,SHRIMP Logsheet,"Fletcher, McNaughton 2002, Granitoid geochronology: SHRIMP zircon and titanite data, in Characterisation and metallogenic significance of Archaean granitoids of the Yilgarn Craton, Western Australia: MERIWA Report 222."
