sample_id,priority_for_spot_retrieval,documents_flag_in_legacy_csv,available_flag_in_legacy_csv,has_igsn_link,igsn_links,mount_ids,doc_types,recommended_refs
SD-6,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB001XA,97-31,SHRIMP Logsheet,"T - Brown, 2002 - UWA PhD Thesis, P - Brown et al., 2002 - Economic Geology - https://doi.org/10.2113/gsecongeo.97.3.541"
SDA,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB001LK; http://hdl.handle.net/10273/XXAB002DS,04-140; 06-66,"SHRIMP Logsheet, Notebook Sketch",In prep 2019
SDD 303,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB001YQ,99-55,SHRIMP Logsheet,"T - Brown, 2002 - UWA PhD Thesis, P - Brown et al., 2002 - Economic Geology - https://doi.org/10.2113/gsecongeo.97.3.541"
SHD 13 104-106.5,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000YH,C-43,SHRIMP Logsheet,"Vielreicher et al., 2006 - AMIRA Project P680: Chronology of deformation, metamorphism and gold mineralisation in the Eastern Goldfields Province, Western Australia: An improved framework of exploration"
SHD 13 115.8,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000YK,C-43,SHRIMP Logsheet,"Vielreicher et al., 2006 - AMIRA Project P680: Chronology of deformation, metamorphism and gold mineralisation in the Eastern Goldfields Province, Western Australia: An improved framework of exploration"
SHD 13 309.5-312,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000YI,C-43,SHRIMP Logsheet,"Vielreicher et al., 2006 - AMIRA Project P680: Chronology of deformation, metamorphism and gold mineralisation in the Eastern Goldfields Province, Western Australia: An improved framework of exploration"
SHD 13 386.6-389,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000YJ,C-43,SHRIMP Logsheet,"Vielreicher et al., 2006 - AMIRA Project P680: Chronology of deformation, metamorphism and gold mineralisation in the Eastern Goldfields Province, Western Australia: An improved framework of exploration"
SHD-9,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0009L,97-02,SHRIMP Logsheet,"Krapez et al., 2000 - Tectonophysics - https://doi.org/10.1016/S0040-1951(00)00059-7"
SR-01,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000MU,A-30,"SHRIMP Logsheet, Notebook Sketch","Dawson et al., 2002 - Precambrian Research - https://doi.org/10.1016/S0301-9268(02)00110-9"
SSD-6,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0008Y,96-75,SHRIMP Logsheet,"Mueller and McNaughton, 2000 - Economic Geology - https://doi.org/10.2113/gsecongeo.95.6.1231"
STEER R III,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001Z7,99-86,,
STEERE R. PICKED,LOW,N,N,Y,http://hdl.handle.net/10273/XXAB001YN,99-47,,"Dawson et al., 2002 - Precambrian Research - https://doi.org/10.1016/S0301-9268(02)00110-9"
STEERE R. RANDOM,LOW,N,N,Y,http://hdl.handle.net/10273/XXAB001YO,99-47,,"Dawson et al., 2002 - Precambrian Research - https://doi.org/10.1016/S0301-9268(02)00110-9"
STEERE R.II,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB000KM,99-69,,
TH26,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0010S,C-96,"SHRIMP Logsheet, Notebook Sketch",
TM01 (MD22),HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB001N8,09-12,SHRIMP Logsheet,
TM01 (MD23),HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB001NA,09-13,SHRIMP Logsheet,
TM02 (MD20),HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB001N4,09-10,SHRIMP Logsheet,
TM02 (MD21),HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB001N6,09-11,SHRIMP Logsheet,
TPD 305 360.5-361.5M,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB001MM; http://hdl.handle.net/10273/XXAB001MW,08-05; 08-25,"SHRIMP Logsheet, Notebook Sketch","Doyle et al., 2015 - Economic Geology - https://doi.org/10.2113/econgeo.110.2.355"
