dataset,missing_sample_id,reason
McNaughton Legacy SHRIMP,B41C-38,No IMS point within tolerance
McNaughton Legacy SHRIMP,B41C-39,No IMS point within tolerance
McNaughton Legacy SHRIMP,B41C-40,No IMS point within tolerance
McNaughton Legacy SHRIMP,B41D-41,No IMS point within tolerance
McNaughton Legacy SHRIMP,B41D-42,No IMS point within tolerance
McNaughton Legacy SHRIMP,B41D-43,No IMS point within tolerance
McNaughton Legacy SHRIMP,B41D-44,No IMS point within tolerance
McNaughton Legacy SHRIMP,BF-1,No IMS point within tolerance
McNaughton Legacy SHRIMP,BM01,No IMS point within tolerance
McNaughton Legacy SHRIMP,BODD-1,No IMS point within tolerance
McNaughton Legacy SHRIMP,BODD-2,No IMS point within tolerance
McNaughton Legacy SHRIMP,BODD-3,No IMS point within tolerance
McNaughton Legacy SHRIMP,BODD-4,No IMS point within tolerance
McNaughton Legacy SHRIMP,BODD-5,No IMS point within tolerance
McNaughton Legacy SHRIMP,BODD-7,No IMS point within tolerance
McNaughton Legacy SHRIMP,BODD-8,No IMS point within tolerance
McNaughton Legacy SHRIMP,BOOB,No IMS point within tolerance
McNaughton Legacy SHRIMP,BOOLALOO GR.,No IMS point within tolerance
McNaughton Legacy SHRIMP,BP-1,No IMS point within tolerance
McNaughton Legacy SHRIMP,BP-1 II,No IMS point within tolerance
McNaughton Legacy SHRIMP,"BP-1 MAG III, DIODH",No IMS point within tolerance
McNaughton Legacy SHRIMP,"BP-1 NONMAG, DIODH",No IMS point within tolerance
McNaughton Legacy SHRIMP,BR-2,No IMS point within tolerance
McNaughton Legacy SHRIMP,BR-3,No IMS point within tolerance
McNaughton Legacy SHRIMP,BR02-7,No IMS point within tolerance
McNaughton Legacy SHRIMP,BR03-20,No IMS point within tolerance
McNaughton Legacy SHRIMP,BR03-3,No IMS point within tolerance
McNaughton Legacy SHRIMP,BR03-31,No IMS point within tolerance
McNaughton Legacy SHRIMP,BR05-15,No IMS point within tolerance
McNaughton Legacy SHRIMP,BR05-27,No IMS point within tolerance
McNaughton Legacy SHRIMP,BWRCD 2145,No IMS point within tolerance
McNaughton Legacy SHRIMP,BWRCD 2726B,No IMS point within tolerance
McNaughton Legacy SHRIMP,BWRCD 618 378.7,No IMS point within tolerance
